N°|Nº Expediente|Número de Decreto|Especialista|Contenido|RUC|Razon Social|Fecha de Creación|Hora de Creación|Fecha del Decreto|Fecha De Aprobacion|Hora De Aprobacion|Estado|Ver Decreto|
27|00008-2024-TCE|534086|Lita Tumi Carpio|Tómese conocimiento|Entidad:20131312955Impugnate:20448168817|Entidad:SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT Impugnate:COMERCIALIZADOR ESTRATEGICO E.I.R.L.|11/01/2024|09:44:47|11/01/2024|||PENDIENTE|534086 Ver...|
28|11833-2023-TCE|534097|Angie Solis Zevalles|Tómese conocimiento|Entidad:20131367423Impugnate:20297566866|Entidad:MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO Impugnate:PETRAMAS S.A.C.|11/01/2024|11:04:50|11/01/2024|||PENDIENTE|534097 Ver...|
29|01248-2019-TCE|534119|Jackelin Roxana Cardenas Vega|Archivamiento de expedientes antes del Pase a Sala|Entidad:001389POSTOR:20514415596|Entidad:MUNICIPALIDAD DISTRITAL DE VEGUETA POSTOR:EQUIPAMIENTO MUNICIPAL DEL PERU S.A.C. - EQUIPMUN-PERU S.A.C|11/01/2024|13:14:50|11/01/2024|||PENDIENTE|534119 Ver...|
30|06580-2022-TCE|534257|Carla Pinedo Prentice|Déjese a consideración de la Sala|Entidad:20381159281POSTOR:20360672418,20601338361|Entidad:INPE-OFICINA GENERAL DE INFRAESTRUCTURA POSTOR:R & S ASOCIADOS S.R.L.,CORPORACION DE INFRAESTRUCTURA S.A.C.|12/01/2024|13:44:36|12/01/2024|||PENDIENTE|534257 Ver...|
31|11342-2023-TCE|534315|Carla Pinedo Prentice|Déjese a consideración de la Sala|Entidad:20563198240Impugnate:20340301201|Entidad:OFICINA GENERAL DE INFRAESTRUCTURA Impugnate:CONSORCIO BALA DE PLATA, conformado por las empresas JADAR S.R.L. y KYUNG CHANG INDUSTRY CO. LTD.|12/01/2024|16:38:21|12/01/2024|||PENDIENTE|534315 Ver...|
31|09697-2023-TCE|533075|Isabel Alejandra Melgar Romani|Plazo adicional para remitir información|Entidad:20556097055Impugnate:20513253541|Entidad:SERVICIO NACIONAL DE CERTIFICACION AMBIENTAL PARA LAS INVERSIONES SOSTENIBLES Impugnate:CONSORCIO GREEN WORLD, conformado por las empresas AZL CONTRATISTAS GENERALES S.A.C. y GRUPO KHUJAQ TRAVEL TOURS S.R.L.|03/01/2024|09:59:18|03/01/2024|04/01/2024|10:35:54|APROBADO|533075 Ver...|
32|10871-2023-TCE|533076|Edgard Enrique Cabezas Davila|Notificación a Mesa de Partes-Inicio de Procedimiento Sancionador|Entidad:20254165035Impugnate:20601274290|Entidad:OFICINA DE NORMALIZACION PREVISIONAL Impugnate:CONSORCIO JRM-TCE, conformado por las empresas JRM SOLUTIONS PERU E.I.R.L. e INDUSTRIAS ELECTROMECANICAS TCE S.A.C.|03/01/2024|10:01:19|03/01/2024|03/01/2024|10:01:23|APROBADO|533076 Ver...|
33|09954-2022-TCE|533077|Zelly Janisse Garcia Ramirez|Sobrecártese|Entidad:20529808446POSTOR:20601464391|Entidad:CORTE SUPERIOR DE JUSTICIA DE PIURA POSTOR:CLINICA DE LIMA S.A.C.|03/01/2024|10:01:28|03/01/2024|03/01/2024|10:26:47|APROBADO|533077 Ver...|
34|12005-2023-TCE|533078|Lita Tumi Carpio|Admitido corrase traslado|Entidad:20211220253Impugnate:20407024401|Entidad:MUNICIPALIDAD DISTRITAL DE TARICA Impugnate:CONSULTORA Y CONSTRUCTORA ISABELITA EIRL|03/01/2024|10:11:52|03/01/2024|03/01/2024|19:40:09|APROBADO|533078 Ver...|
35|11665-2023-TCE|533079|Zelly Janisse Garcia Ramirez|Sobrecártese|Entidad:20131257750Impugnate:20604742821|Entidad:SEGURO SOCIAL DE SALUD Impugnate:VORAUS CONTRATISTAS GENERALES S.A.C.|03/01/2024|10:17:13|03/01/2024|03/01/2024|11:05:36|APROBADO|533079 Ver...|
36|11148-2023-TCE|533080|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20146722653Impugnate:20545316561|Entidad:MUNICIPALIDAD DISTRITAL DE LA UNION - PIURA Impugnate:TACTICAL IT S.A.C.|03/01/2024|10:18:09|03/01/2024|03/01/2024|10:19:15|APROBADO|533080 Ver...|
37|11148-2023-TCE|533081|Edgard Enrique Cabezas Davila|Notificación al Organo de Control Institucional|Entidad:20146722653Impugnate:20545316561|Entidad:MUNICIPALIDAD DISTRITAL DE LA UNION - PIURA Impugnate:TACTICAL IT S.A.C.|03/01/2024|10:19:11|03/01/2024|03/01/2024|10:19:20|APROBADO|533081 Ver...|
38|02140-2022-TCE|533082|Angie Solis Zevalles|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20131368667POSTOR:20513965029|Entidad:MUNICIPALIDAD DISTRITAL DE LOS OLIVOS (LAS PALMERAS) POSTOR:JL SOPORTE EMPRESARIAL SAC - JL SOPEM SAC|03/01/2024|10:22:51|03/01/2024|03/01/2024|18:30:55|APROBADO|533082 Ver...|
39|11496-2023-TCE|533083|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20131371293Impugnate:20295458551|Entidad:INSTITUTO PERUANO DE ENERGIA NUCLEAR Impugnate:CORPORACION REY S.A.|03/01/2024|10:26:34|03/01/2024|03/01/2024|10:26:58|APROBADO|533083 Ver...|
40|11496-2023-TCE|533084|Edgard Enrique Cabezas Davila|Notificación al Organo de Control Institucional|Entidad:20131371293Impugnate:20295458551|Entidad:INSTITUTO PERUANO DE ENERGIA NUCLEAR Impugnate:CORPORACION REY S.A.|03/01/2024|10:26:54|03/01/2024|03/01/2024|10:27:03|APROBADO|533084 Ver...|
41|10862-2023-TCE|533085|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20453743862Impugnate:20601878420|Entidad:GOBIERNO REGIONAL DE CAJAMARCA DIRECCION REGIONAL AGRARIA CAJAMARCA Impugnate:DISORTE S.A.C.|03/01/2024|10:33:43|03/01/2024|03/01/2024|10:37:05|APROBADO|533085 Ver...|
42|02564-2021-TCE|533086|Angie Solis Zevalles|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20131312955POSTOR:20600580583|Entidad:SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT POSTOR:SEGURIDAD PERU Y SERVICIOS VARIOS S.R.L.|03/01/2024|10:35:30|03/01/2024|03/01/2024|18:31:33|APROBADO|533086 Ver...|
43|10862-2023-TCE|533087|Edgard Enrique Cabezas Davila|Notificación a Mesa de Partes-Inicio de Procedimiento Sancionador|Entidad:20453743862Impugnate:20601878420|Entidad:GOBIERNO REGIONAL DE CAJAMARCA DIRECCION REGIONAL AGRARIA CAJAMARCA Impugnate:DISORTE S.A.C.|03/01/2024|10:36:30|03/01/2024|03/01/2024|10:37:21|APROBADO|533087 Ver...|
44|11947-2023-TCE|533088|Lita Tumi Carpio|Admitido corrase traslado|Entidad:20479569861Impugnate:10277185534|Entidad:GOBIERNO REGIONAL DE AMAZONAS SEDE CENTRAL Impugnate:CONSORCIO SUPERVISOR CAJARURO, conformado por los señores JULIO CESAR ROMERO CABANILLAS y JOSELITO RIMARACHIN FLORES|03/01/2024|10:39:00|03/01/2024|03/01/2024|19:39:36|APROBADO|533088 Ver...|
45|10877-2023-TCE|533089|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20156074242Impugnate:20601830966|Entidad:MUNICIPALIDAD PROVINCIAL DE CALCA Impugnate:GRUPO GEOMAQ S.A.C.|03/01/2024|10:48:51|03/01/2024|03/01/2024|10:48:55|APROBADO|533089 Ver...|
46|11967-2023-TCE|533090|Lita Tumi Carpio|Admitido corrase traslado|Entidad:20163795494Impugnate:20603234279|Entidad:MUNICIPALIDAD DISTRITAL DE VEGUETA Impugnate:CONSORCIO SAN LUIS, conformado por las empresas AGRIBUSINESS CHEST S.A.C. y GRUPO FASA S.A.C.|03/01/2024|10:56:53|03/01/2024|03/01/2024|19:39:12|APROBADO|533090 Ver...|
47|02217-2022-TCE|533091|Pamela Quispe Santos|Remisión a sala - Apercibimiento|Entidad:20480776250POSTOR:20600564545|Entidad:POLICÍA NACIONAL DEL PERÚ - II DIRECCIÓN TERRITORIAL CHICLAYO POSTOR:SERGEMADES S.A.C.|03/01/2024|10:58:50|03/01/2024|05/01/2024|15:21:34|APROBADO|533091 Ver...|
48|05192-2022-TCE|533092|Jackelin Roxana Cardenas Vega|Previamente|Entidad:20131380951POSTOR:20504126791|Entidad:MUNICIPALIDAD METROPOLITANA DE LIMA POSTOR:ARQUILUZ S.R.L.|03/01/2024|10:58:55|03/01/2024|10/01/2024|10:16:02|APROBADO|533092 Ver...|
49|02289-2020-TCE|533093|Angie Solis Zevalles|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20393066386POSTOR:20602073182|Entidad:GOBIERNO REGIONAL DE UCAYALI-UNIDAD EJECUTORA 303 EDUCACION CORONEL PORTILLO POSTOR:INVERSIONES & LOGISTICA RIO PURUS E.I.R.L.|03/01/2024|11:00:32|03/01/2024|03/01/2024|18:32:01|APROBADO|533093 Ver...|
50|05317-2022-TCE|533094|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20527141762POSTOR:20605530673|Entidad:GOBIERNO REGIONAL DE APURIMAC SEDE CENTRAL POSTOR:REPRESENTACIONES Y DISTRIBUCIONES CAMPOS E.I.R.L|03/01/2024|11:05:11|03/01/2024|03/01/2024|11:06:02|APROBADO|533094 Ver...|
51|05317-2022-TCE|533095|Edgard Enrique Cabezas Davila|Notificación al Organo de Control Institucional|Entidad:20527141762POSTOR:20605530673|Entidad:GOBIERNO REGIONAL DE APURIMAC SEDE CENTRAL POSTOR:REPRESENTACIONES Y DISTRIBUCIONES CAMPOS E.I.R.L|03/01/2024|11:05:31|03/01/2024|03/01/2024|11:07:06|APROBADO|533095 Ver...|
52|00431-2021-TCE|533096|Angie Solis Zevalles|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20452393493POSTOR:10289947481|Entidad:GOBIERNO REGIONAL DE AYACUCHO - SALUD SARASARA POSTOR:HUAMANI ALATA MANUEL DIMICIO|03/01/2024|11:07:08|03/01/2024|03/01/2024|18:32:25|APROBADO|533096 Ver...|
53|02806-2019-TCE|533097|Pamela Quispe Santos|Remisión a sala - Descargos|Entidad:22222222222POSTOR:20603322542|Entidad:INSTITUTO NACIONAL DE DEFENSA CIVIL- INDECI POSTOR:SATCOM DEFENSA S.A.C|03/01/2024|11:09:55|03/01/2024|05/01/2024|15:21:58|APROBADO|533097 Ver...|
54|11969-2023-TCE|533098|Lita Tumi Carpio|Admitido corrase traslado|Entidad:20163795494Impugnate:20603234279|Entidad:MUNICIPALIDAD DISTRITAL DE VEGUETA Impugnate:AGRIBUSINESS CHEST S.A.C.|03/01/2024|11:10:47|03/01/2024|03/01/2024|19:38:52|APROBADO|533098 Ver...|
55|08489-2022-TCE|533099|Angie Solis Zevalles|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20170040695POSTOR:10460640755|Entidad:MUNICIPALIDAD DISTRITAL DE JEQUETEPEQUE POSTOR:MUJICA HUACCHA MIGUEL JOSSIMAR|03/01/2024|11:10:58|03/01/2024|03/01/2024|18:32:57|APROBADO|533099 Ver...|
56|01147-2023-TCE|533100|Angie Solis Zevalles|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20199828666POSTOR:10190617373|Entidad:MUNICIPALIDAD DISTRITAL DE SALPO POSTOR:ZAVALETA CONTRERAS WILSON JAVIER|03/01/2024|11:14:48|03/01/2024|03/01/2024|18:33:24|APROBADO|533100 Ver...|
57|02984-2022-TCE|533101|Pamela Quispe Santos|Remisión a sala - Apercibimiento|Entidad:20131380951POSTOR:20604420165|Entidad:MUNICIPALIDAD METROPOLITANA DE LIMA POSTOR:GRUPO TACTICO ALLIONS S.A.C.|03/01/2024|11:15:36|03/01/2024|05/01/2024|15:22:26|APROBADO|533101 Ver...|
58|11129-2023-TCE|533102|Edgard Enrique Cabezas Davila|Sobrecártese|Entidad:20131257750Impugnate:20601890071|Entidad:SEGURO SOCIAL DE SALUD Impugnate:TEC MED EQUIPOS MEDICOS S.A.C.|03/01/2024|11:15:41|03/01/2024|03/01/2024|11:15:48|APROBADO|533102 Ver...|
59|04067-2021-TCE|533103|Debora Dafne Basurco Chavez|Inicio del procedimiento sancionador|Entidad:20131367938POSTOR:20563839130|Entidad:DIRECCIÓN GENERAL DE ADMINISTRACIÓN DEL MINISTERIO DE DEFENSA POSTOR:LA CASA DEL SUMINISTRO S.C.R.L.|03/01/2024|11:16:12|03/01/2024|05/01/2024|09:28:20|APROBADO|533103 Ver...|
60|04424-2021-TCE|533104|Angie Solis Zevalles|Requerimiento y reiteración de inform.adicional a las partes|Entidad:000000000,20369027957POSTOR:10266284280|Entidad:OCI DEL GOBIERNO REGIONAL DE CAJAMARCA,DIRECCION REGIONAL DE TRANSPORTES Y COMUNCIACIONES - CAJAMARCA POSTOR:VELASQUEZ DAVILA JULIO ANAXIMANDRO|03/01/2024|11:18:58|03/01/2024|03/01/2024|18:35:20|APROBADO|533104 Ver...|
61|10986-2023-TCE|533105|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20185898343Impugnate:20102032951|Entidad:GOBIERNO REGIONAL DE APURIMAC-CHANKA Impugnate:A JAIME ROJAS REPRESENTACIONES GRLES S A|03/01/2024|11:21:20|03/01/2024|03/01/2024|11:21:38|APROBADO|533105 Ver...|
61|10986-2023-TCE|533105|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20185898343Impugnate:20102032951|Entidad:GOBIERNO REGIONAL DE APURIMAC-CHANKA Impugnate:A JAIME ROJAS REPRESENTACIONES GRLES S A|03/01/2024|11:21:20|03/01/2024|03/01/2024|11:21:38|APROBADO|533105 Ver...|
62|03358-2019-TCE|533106|Pamela Quispe Santos|Remisión a sala - Descargos|Entidad:20146008845POSTOR:10225104366,20601466601|Entidad:MUNICIPALIDAD PROVINCIAL DE HUANUCO POSTOR:ESPINOZA SALGADO ELOY JUSTO,ALEN GROUP CONSTRUCCIONES S.R.L.|03/01/2024|11:21:31|03/01/2024|05/01/2024|15:22:48|APROBADO|533106 Ver...|
63|03781-2019-TCE|533107|Pamela Quispe Santos|Remisión a sala - Apercibimiento|Entidad:20505703554POSTOR:10256979841|Entidad:GOBIERNO REGIONAL DEL CALLAO POSTOR:VILLAVICENCIO CARDENAS FRANCISCO JAVIER|03/01/2024|11:27:51|03/01/2024|05/01/2024|15:38:43|APROBADO|533107 Ver...|
64|10773-2023-TCE|533108|Edgard Enrique Cabezas Davila|Notificación al Organo de Control Institucional|Entidad:20604920192Impugnate:20602175236|Entidad:PROGRAMA NACIONAL DE CENTROS JUVENILES Impugnate:EMPRESA COMERCIAL MULTISERVICIOS FRANK E.I.R.L.|03/01/2024|11:29:07|03/01/2024|03/01/2024|11:29:11|APROBADO|533108 Ver...|
65|04067-2021-TCE|533109|Debora Dafne Basurco Chavez|Tómese conocimiento|Entidad:20131367938POSTOR:20563839130|Entidad:DIRECCIÓN GENERAL DE ADMINISTRACIÓN DEL MINISTERIO DE DEFENSA POSTOR:LA CASA DEL SUMINISTRO S.C.R.L.|03/01/2024|11:33:36|03/01/2024|05/01/2024|09:28:33|APROBADO|533109 Ver...|
66|01081-2023-TCE|533110|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20206591499POSTOR:10727738601|Entidad:MUNICIPALIDAD DISTRITAL DE CHINGALPO POSTOR:ROMAN TARAZONA LUIS JOSUE|03/01/2024|11:34:23|03/01/2024|03/01/2024|11:35:03|APROBADO|533110 Ver...|
67|01081-2023-TCE|533111|Edgard Enrique Cabezas Davila|Notificación al Organo de Control Institucional|Entidad:20206591499POSTOR:10727738601|Entidad:MUNICIPALIDAD DISTRITAL DE CHINGALPO POSTOR:ROMAN TARAZONA LUIS JOSUE|03/01/2024|11:34:46|03/01/2024|03/01/2024|11:36:29|APROBADO|533111 Ver...|
68|03486-2021-TCE|533112|Angie Solis Zevalles|Dejese sin efecto la remisión a sala|Entidad:20131370301POSTOR:20494108918|Entidad:MINISTERIO PUBLICO-GERENCIA GENERAL POSTOR:BLACK & WHITE CORPORATION S.R.L.|03/01/2024|11:47:36|03/01/2024|03/01/2024|18:35:44|APROBADO|533112 Ver...|
69|00168-2023-TCE|533113|Angie Solis Zevalles|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20477906461POSTOR:20509801038|Entidad:AUTORIDAD NACIONAL DEL SERVICIO CIVIL - SERVIR POSTOR:GACETA COMERCIAL SOCIEDAD ANONIMA-GACETA COMERCIAL S.A.|03/01/2024|11:50:24|03/01/2024|03/01/2024|18:36:14|APROBADO|533113 Ver...|
70|11994-2023-TCE|533114|Lita Tumi Carpio|Admitido corrase traslado|Entidad:20479569780Impugnate:20609494582|Entidad:GOBIERNO REGIONAL DE LAMBAYEQUE SEDE CENTRAL Impugnate:CORPORACION PAMPAS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA|03/01/2024|11:52:21|03/01/2024|03/01/2024|19:38:32|APROBADO|533114 Ver...|
